source,target
(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 3). 1. 0. 1. 0. 0),(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 3). 1. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 3). 1. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 3). 2. 1. 0. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 3). 2. 1. 0. 0. 0),(('duke'. 'assassin'. 5). ('dead'. 'dead'. 3). 2. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'ambassador'. 2). 1. 0. 1. 0. 0),(('duke'. 'assassin'. 5). ('ambassador'. 'ambassador'. 2). 1. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'ambassador'. 2). 1. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('ambassador'. 'ambassador'. 2). 2. 1. 0. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'ambassador'. 2). 2. 1. 0. 0. 0),(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 2). 2. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'ambassador'. 2). 2. 1. 0. 0. 0),(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 2). 2. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 2). 2. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 3). 1. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 2). 2. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 2). 1. 0. 1. 0. 0)
(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 2). 1. 0. 1. 0. 0),(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 2). 1. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 2). 1. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 2). 2. 1. 0. 0. 0)
(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 2). 2. 1. 0. 0. 0),(('duke'. 'assassin'. 5). ('dead'. 'dead'. 2). 2. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 2). 2. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 3). 1. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 2). 2. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 2). 1. 0. 1. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 2). 1. 0. 1. 0. 0),(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 2). 1. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 2). 1. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 2). 2. 1. 0. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 2). 2. 1. 0. 0. 0),(('duke'. 'assassin'. 5). ('dead'. 'dead'. 2). 2. 0. 0. 0. 0)
